423,1445591766733
430,9138463928989
392,51827609103776
423,97387824236034
418,62914898455136
402,89658326040484
400,04718219043633
459,2222269491011
419,3277928876045
412,62981768949885
424,1471301218392
479,203239728957
424,3804804110454
424,3804804110454
387,7036728596095
418,69327783174003
355,16132206589566
474,43345474101466
410,78244629128267
413,5783002570941
473,7882708406176
434,40488632256694
413,98553487768726
432,2087958422497
457,2477761446046
427,74584278911135
412,64010493885763
462,71378405733327
428,68848794466714
401,0539789865744
444,33391307097776
421,4944347350295
401,1993801745381
422,8549552158492
427,51734057383425
435,82726423834004
398,4487338476608
416,0274519504806
421,093419178443
420,96005583700094
425,8919638247821
478,43409943391254
456,9965846097769
434,2828880671311
420,8397957741281
442,8432294539762
467,8827896734464
419,20488759089903
442,29841020888034
385,09546998083823
438,39599217937393
427,62068103114893
413,23195581843436
410,6042732850924
420,097237790299
427,73968004524045
454,5712334284745
445,481548124622
406,49842036016065
475,58674472511757
422,6843740606468
444,66760332526053
403,353455728881
418,60479060705643
411,3292801364685
490,83815808973316
424,8375900490304
428,9844804505799
437,4899396515112
456,1159261384875
414,31579831773206
468,97132848409234
493,4016878828292
434,4213271656328
436,2298286490107
479,98014972803145
434,146003407888
443,5238736946286
515,648677516601
429,7782272272983
454,52398494041665
424,9411988713703
435,9547671778687
451,7410228850249
448,52671938247533
471,8425253107529
404,5461281939636
465,0568959446771
510,24506932823624
413,54356478549477
477,27679821022275
398,6979682103553
408,471684939877
477,6647510490972
407,6013468852432
424,1651966293151
450,11871123694436
476,4400950872849
396,084108777841
450,5589514055685
